Hz_file,Eqn_num,MSE,predicting_eqn
72,1,4.904243323697392e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
81,1,7.222163669881559e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
90,1,0.00012064652625049156,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
99,1,0.000194488657400778,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
9,2,0.00014022350172470586,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
36,2,0.00012518544788422476,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
45,2,8.475272525254119e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
54,2,3.9831933713812694e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
63,2,1.3964513786239367e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
72,2,4.421745456060059e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
81,2,0.00011980602926814146,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
90,2,0.00020270869719879095,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
99,2,0.0003941762391616076,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
